episode,season,name,team,temple_layout,artifact_location,artifact_found,failure_due_to,success,solo,time_left,pendants,pen_dummy
83,3,The Comet-Embroidered Battle Flag of William the Conqueror,Green Monkeys,15,The Chamber of the Sacred Markers,yes,Failed Escape,no,Team,0,2,4
84,3,The Bullet-Riddled Handbag of Belle Boyd,Green Monkeys,15,The Room of the Ancient Warriors,no,Failed Acquisition,no,Team,0,2,4
85,3,The Dried Ear of Corn of Sojourner Truth,Green Monkeys,15,The Jester's Court,no,Failed Acquisition,no,Team,0,2,4
86,3,The Marble Armrest of Xerxes,Green Monkeys,15,The Chamber of the Sacred Markers,no,Failed Acquisition,no,Team,0,1.5,2
87,3,The Discarded Seal of Ivan the Terrible,Green Monkeys,15,The King's Storeroom,no,Failed Acquisition,no,Team,0,2,4
88,3,The War Fan of the 47 R?nin,Silver Snakes,15,The Quicksand Bog,no,Failed Acquisition,no,Team,0,1,1
89,3,The Red Sash of Tokugawa Ieyasu,Blue Barracudas,15,The Tomb of the Headless Kings,no,Failed Acquisition,no,Team,0,2,4
90,3,The Mummified Hand of the Egyptian King,Blue Barracudas,15,The Dark Forest,no,Triple Seizure,no,Team,0,1.5,2
91,3,The Smashed Printing Plate of Frederick Douglass,Red Jaguars,15,The Tomb of the Headless Kings,no,Failed Acquisition,no,Team,0,2,4
92,3,The Upside-Down Compass of Henry Hudson,Purple Parrots,15,The Dark Forest,no,Failed Acquisition,no,Team,0,2,4
93,3,The Lily-Crested Crown of Clovis I,Orange Iguanas,15,The Quicksand Bog,no,Failed Acquisition,no,Team,0,2,4
94,3,The Mystical Spellbook of the Imperial Wizard,Green Monkeys,15,The Room of the Secret Password,no,Failed Acquisition,no,Team,0,2,4
95,3,he Jewel-Encrusted Egg of the Catherine the Great,Red Jaguars,15,The Room of the Ancient Warriors,yes,Success,yes,Team,24,2,4
96,3,The Broken Trident of Poseidon,Silver Snakes,15,The Shrine of the Silver Monkey,yes,Failed Escape,no,Team,0,2,4
97,3,The Much-Heralded Helmet of Sir Gawain,Orange Iguanas,15,The Jester's Court,yes,Success,yes,Solo,10,1.5,2
98,3,The Golden Spider Web of Robert the Bruce,Green Monkeys,15,The Chamber of the Sacred Markers,no,Triple Seizure,no,Team,0,1.5,2
99,3,The Dried Apple Half of William Tell,Green Monkeys,15,The Room of the Ancient Warriors,no,Failed Acquisition,no,Team,0,2,4
100,3,The Lost Hornpipe of the Pirate Captain,Green Monkeys,15,The Quicksand Bog,yes,Success,yes,Team,14,1.5,2
101,3,The Bifocal Monocle of One-Eyed Jack,Orange Iguanas,15,The Shrine of the Silver Monkey,no,Failed Acquisition,no,Team,0,1.75,3
102,3,The Useless Map of the Chibcha Chieftain,Orange Iguanas,15,The Dark Forest,no,Triple Seizure,no,Team,0,1,1
103,3,The Missing Portrait of Hans Holbein,Blue Barracudas,15,The Chamber of the Sacred Markers,no,Failed Acquisition,no,Team,0,2,4
104,3,The Ivory Hunting Horn of Roland,Red Jaguars,15,The Shrine of the Silver Monkey,yes,Success,yes,Solo,71,1.5,2
105,3,The Secret Map of the Bandit Queen,Silver Snakes,15,The Shrine of the Silver Monkey,yes,Success,yes,Team,9,1,1
106,3,The Enournous Feather of the Me Linh,Orange Iguanas,15,The King's Storeroom,yes,Failed Escape,no,Team,0,1,1
107,3,The Thornwood Gavel of Judge Roy Bean,Orange Iguanas,15,The Jester's Court,no,Failed Acquisition,no,Team,0,2,4
108,3,The Mysterious Manuscript of Mary Shelley,Blue Barracudas,15,The Dark Forest,no,Failed Acquisition,no,Team,0,2,4
109,3,The Ruby Earring of Benzibab,Silver Snakes,15,The Room of the Secret Password,yes,Success,yes,Team,62,2,4
110,3,The Lost Whale Bone of Pytheas,Orange Iguanas,15,The Chamber of the Sacred Markers,no,Failed Acquisition,no,Team,0,2,4
111,3,The Royal Torque of Queen Boadicea,Red Jaguars,15,The Tomb of the Headless Kings,yes,Failed Escape,no,Team,0,2,4
112,3,The Pearl Necklace of Gwalior,Blue Barracudas,15,The Quicksand Bog,no,Failed Acquisition,no,Team,0,2,4
113,3,The Good Luck Watch of Empress Eugenie,Green Monkeys,15,The Tomb of the Headless Kings,yes,Failed Escape,no,Team,0,2,4
114,3,The Melted Head of Madame Tussaud,Orange Iguanas,15,The Quicksand Bog,no,Failed Acquisition,no,Team,0,1.5,2
115,3,The Metal Beard of the Egyptian Queen,Purple Parrots,15,The Shrine of the Silver Monkey,yes,Success,yes,Team,5,1,1
116,3,The Snow Cone of Mount Kilimanjaro,Silver Snakes,15,The Room of the Ancient Warriors,no,Failed Acquisition,no,Team,0,1.5,2
117,3,The Taj Maj Turban of Aurangzeb,Green Monkeys,15,The Room of the Secret Password,no,Triple Seizure,no,Team,0,1.5,2
118,3,The Bent Shaving Pan of Jedediah Smith,Orange Iguanas,15,The King's Storeroom,no,Failed Acquisition,no,Team,0,1.5,2
119,3,The Mussel Shell Armor of Apanuugpak,Green Monkeys,15,The Chamber of the Sacred Markers,yes,Success,yes,Team,10,2,4
120,3,The Lion-Headed Bracelet of Chandragupta,Green Monkeys,15,The Quicksand Bog,yes,Success,yes,Solo,6,1.5,2
